id,label,code,title,categories,createdAt,updatedAt,logo,hidden,highlights,shortAbout,address,locationLng,locationLat,invitationCode,isActive,emails,phones,domain
108ec580-af18-4020-9961-bfa270e28a1a,TDS,tds,Your Digital Transformation Partner,"[""Business Services"",""Development""]",2025-03-14 13:25:25.748,2025-12-06 08:00:57.806,/providers/tds/logo.png,false,"[""At TDS, we firmly believe in the pivotal role of digital transformation for ensuring business sustainability. That's why we provide an extensive array of tools and solutions aimed at assisting businesses of all sizes in effortlessly managing and maintaining their operations."",""We've forged robust alliances with some of the industry's most innovative and forward-thinking firms. By blending our expertise with cutting-edge technology and best practices, we deliver unmatched software services tailored to our clients' specific requirements. Partnering up with Microsoftand Odoo, we've co-created a novel cloud-based software solution, resulting in reduced IT expenses and enhanced efficiency for our clients. Collaborating with prominent integrators like Connect-PS and Sigma-IT in Saudi Arabia and the Gulf, we've developed solutions that have proven invaluable to our regional clients."",""Furthermore, in partnership with esteemed consulting firms such as Quota International and MADA, we've crafted new business strategies and sales transformation solutions, driving the expansion of our business. Additionally, enables us to offer distinctive e-commerce solutions to our clientele.""]","We are a leading software and services corporation with a global network , offering unparalleled software services that cater to clients worldwide. Our team of talented software professionals has a proven track record of success in a wide range of industries.","​Park Street, 2nd Floor, office No. 2203, Sheikh Zayed, Giza, Egypt",31.0110349440311,30.0257667465913,,false,[],"[""1-888-225-5837"",""1-855-220-2592"",""800-605-1962""]",tds.net
1255b627-7fe6-46d1-85dd-c34655132e0b,HESHAM SAAD FOR INFORMATION TECHNOLOGY LLC,hesham-saad,Wordpress & Woocommerce Development,"[""Development""]",2025-03-14 13:25:25.748,2025-12-06 08:00:51.095,/providers/hesham-saad/logo.png,false,"[""Keeping your website secure and running well with regular updates and backups is very important. So just focus on running your business and leave the regular website maintenance and upkeep to me and my team."",""Detailed report: A report containing everything you want to know about your site will be sent to you periodically during the subscription period."",""Backup: Backups up to four times per day to our own servers on Amazon."",""Technical support: Technical support 24/7 for any problem you may encounter at any time."",""Security check: The site is regularly checked for security and the statement is added to the site's periodic report."",""Site Updates: Secure updates for WordPress, themes and plugins installed on your website."",""Site performance monitoring: Ensuring that the site is working properly around the clock is added to the periodic report.""]","My name is Hesham Saad, a WordPress website design specialist with over 10 years of experience. I have implemented many websites in the previous years and gained great trust from my clients. I am happy to be one of them.","696, EL-HORIA ROAD, FLOOR 8, FLAT 806 LOURAN ALEXANDRIA, EGYPT",29.9743155793878,31.2458679917993,,false,[],[],heshamsaad.com
14cc5109-007f-4e4c-8dae-b872ae95a80c,ZAD Solutions,zad-solutions,Digital Transformation & Business Intelligence,"[""Development"",""Business Services""]",2025-03-14 13:25:25.748,2025-12-06 08:01:04.206,/providers/zad-solutions/logo.png,false,"[""We are a team of business applications consultants and software development experts. "",""We work together to provide both the technical and business aspects to cover the whole spectrum of business applications.\nBack in 2003 ZAD Solutions was established to be the first Open-source only company in Egypt."",""We enable organizations to achieve commercial and operational excellence\nthrough consulting and application of open-source technologies .""]",ZAD Solutions enables organizations to achieve commercial and operational excellence through consulting and application of open-source technologies.,63 Syria St. - Mohandessin - Giza,31.1936362910319,30.0526436540692,,false,"[""info@zadsolutions.com""]","[""20233021123"",""+201066654630"",""+97466104136""]",zadsolutions.com
205112bb-6159-4fcb-b8a4-2b13b35c9b44,LongRange Ltd,long-range-ltd,Experienced Global IT,"[""Development"",""Business Services""]",2025-03-14 13:25:25.748,2025-12-06 08:01:03.12,/providers/long-range-ltd/logo.webp,false,"[""We strongly believe in our philosophy of knowing more everyday & developing our Know-How to serve our partners through top notch technologies and in more advanced ways, the direction we take is to team with world market leaders in the areas we cover.\n\n"",""Through continuous communication with our partners and providers, we provide the best understanding, knowledge and capabilities to optimally serve the needs and properly face the challenges of modern IT systems.\n\n"",""Our Experience and Projects cover Businesses from small to large Enterprises, in different vertical markets. Banking and Financial sector, Oil & Gas, Construction and Real Estate, Governmental and Non-Governmental Organizations, Educational, Industrial Organizations, Trading, Shipping and much more.\n\n"",""Our Global partners in success, include but not limited to, Bloomberg, Credit Agricole Bank, HSBC Bank, ENI , Regus Offices , Orange Telco,  Gemini Holding,  WHO, Ford Foundation, Fulbright Commission and many more entities across our Mediterranean Region .\n\n"",""With our EU Presence and Middle Eastern Background, we have a great mix of cultures and exposure that allows us to provide different solutions with fresh approaches   \n\n""]","LongRange is a company focused on IT know-how, our team of experts have been working in the Mediterranean region IT market with all its changes and challenges since 1995.","IRIS House, John Kennedy St. 3106 Limassol, Cyprus",33.0604351221676,34.6899364396831,,false,"[""info@longrangeltd.com""]","[""357 97 676879"",""+357 99 088185"",""+357 97 740417""]",longrangeltd.com
23a6a679-44dc-47cf-a017-bc55e7f75710,Flojics Technology,flojics-technology,ERP Consultations | Web & App Development | Digital Marketing  | Stuff Augmentation,"[""Development""]",2025-03-14 13:25:25.748,2025-12-06 08:01:12.413,/providers/flojics-technology/logo.png,false,"[""Flojics is a global software development company in the United Arab Emirates, Specializing in custom software development, website design, mobile application development, and digital marketing."",""We focus on staying up-to-date on the latest development and marketing trends and technologies to future your solutions, creating a consistently and continually profitable digital presence for your business, and keeping it competitive and relevant.""]","Flojics is a global software development company ,specializing in custom software development, website design, mobile application development, and digital marketing. A highly experienced team of professionals focused on delivering real, measurable results for our trusted clients across numerous industries around the world.","Dubai Digital Park, A1-001, DSO, Dubai, UAE",55.386178518325,25.1287243332,,false,"[""info@flojics.com""]","[""-585""]",flojics.com
293ce228-3c01-4f05-8a23-9d29bc5974a2,Badgewell,badgewell,Mobile App and Web Development,"[""Development"",""Design""]",2025-03-14 13:25:25.748,2025-12-06 08:01:12.039,/providers/badgewell/logo.png,false,"[""Since 2018, Badgewell has been delivering the highest quality enterprise software products. Badgewell services include staff augmentation, data analytics, web and mobile development, solution design and prototyping.""]","Software experts you can trust, your one-stop shop for all your software needs, we have a team of experienced and talented designers and software developers who can help you with any project, no matter how big or small.","172 Sameh Gado, 6th of October City, Egypt",30.975895942796,30.0005682184881,,false,"[""contact@badgewell.com"",""sales@badgewell.com"",""support@badgewell.com""]","[""1 (213) 915-4728""]",badgewell.com
2ba077fa-b904-4515-a1d3-0d56f5c24ccb,NourCode,nourcode,Nourcode for web design and develop,"[""Development"",""Design""]",2025-03-14 13:25:25.748,2025-12-06 08:00:51.712,/providers/nourcode/logo.png,false,"[""We always believe that we are able to change cultures, so that the world becomes a better place, by implementing high quality products that affect society through the values they carry."",""Our goal is to build strong and reliable relationships between us and our customers first."",""Digital products are used by humans constantly and that is why we don't just care about their appearance."",""We know very well that to ensure success we must deal with all the different means of technology."",""We are tracking everything new to make sure that you and your site users also have a really good user experience.""]","A company that strives to keep up with everything new in the field of technology to meet all customer needs. Our service is Website development, especially Ecommerce and personal website. Main technologies we use are Magento, Wordpress, PHP, Javascript and other website technologies.","Abtal al-Falouja, Mit Ghamr, Mansourah City, AlDaqahliyah, EGYPT",31.257387,30.717325,,false,[],[],nourcode.com
2c64d6cf-2a98-4973-9c50-57d32d30b218,RunProf LLC,runprof-llc,Web & Mobile App Development,"[""Development"",""Design""]",2025-03-14 13:25:25.748,2025-12-06 08:01:16.222,/providers/runprof-llc/logo.png,false,"[""Runprof Is a software development and marketing firm that creates and designs high- quality custom apps, websites, and games for our clients, as well as implementing and managing marketing strategies, we transform many businesses with strong and adaptable digital solutions that satisfy the needs of today and unlock the opportunities of tomorrow."",""Runprof Headquartered in Alexandria, Egypt since 2019, we depend on software and digital solutions leaded by our specialists who are eager, experienced, and competitive to fulfill our customer’s need of today and tomorrow.""]","Software consulting and development for your digital success. Since 2019, We transform businesses with powerful and adaptable digital solutions that satisfy the needs of today and unlock the opportunities of tomorrow.","378 Abou Quer, Mustafa Kamel WA Bolkli Sidi Gaber, Alexandria Governorate, Egypt",29.9457493572005,31.2233148643742,,false,"[""info@runprof.com"",""sales@runprof.com""]","[""201550335306"",""+2035217285"",""+2035216111""]",runprof.com
2d094919-91a0-463e-a652-25fafd33c448,Reflections,reflections,Digital Agency and Software House,"[""Development"",""Marketing"",""Business Services""]",2025-03-14 13:25:25.748,2025-12-06 08:01:07.088,/providers/reflections/logo.png,false,"[""Reflections is a digital marketing and web\ndevelopment agency that was founded in 2011 with\na vision in mind; to make the world more\naccessible through igniting a ripple of change as\nto how the digital world is perceived. Our mission\nis to create artistic, innovative, and culturally\nrelevant digital solutions to ensure a full\nengagement and participation in the digital\nmarketing world, all while delivering World Class\nservices, measurable results & creating a unique\nclient experience that is based on fulfillment and\nsatisfaction. As well as maintaining our\ncommunity, environment and the wellbeing of our\ndream team."",""Our Mission:\nDelivering World Class services, measurable results, tailored solutions, & high client satisfaction, While maintaining our community, environment and the wellbeing of our employees."",""Our Vision:\nTo create valuable developments, strategies and optimized solutions that will inspire the world and meet the pace of Tomorrow!""]","Reflections­ is­ an­ award-winning­ creative­ hub­ that­ offers­ a­ comprehensive­ and­ innovative­ suite­ of­ services­ designed­ to­ ensure­ efficiency,­ integrity­ and­ excellence­ all­ across­ the­ digital­ realm.­ With­ community­ culture­ and­ standards­ at­ heart,­ we­ strive­ to­ change­ the­ digital­ marketing­ industry­ and­ bring­ brands­ closer­ to­ consumers.­ Through­ community­ marketing­ and­ digital­ communications­ we­ will­ help­ you­ dominate­ the­ market­ and­ go­ over­ the­ charts.­","67A Misr Helwan Agriculture Rd, Maadi, Cairo, Egypt.",31.2497993513146,29.9621642292388,,false,"[""info@reflectionsinfos.com"",""Careers@reflectionsinfos.com"",""legal@reflectionsinfos.com""]","[""91 4712700138"",""+973 33 535 004"",""+973 13 101 003""]",reflectionsglobal.com
30ce09c6-eafc-43a7-8c8c-f0e9ca0381d1,Enozom Software,enozom-software,Web & Mobile App Software Development,"[""Development""]",2025-03-14 13:25:25.748,2025-12-06 08:01:15.874,/providers/enozom-software/logo.png,false,"[""Take advantage of our 10+ years of experience in building and successfully launching web and mobile software solutions delivered 100+ projects."",""Working with many international customers like:"",""Harris Computers (USA)"",""Life Connect (France)"",""Pass Me Fast (UK)"",""Couryah (Canada)"",""Add Energy (UK)"",""Saudi Arabia Government""]","We provide our customers with the full spectrum of software services focusing on Web Development, Web Design, Mobile App Development, and Software Testing. ","2 Rasmi Basha Street, Gleem 21532, Alexandria,Egypt",29.9593704074109,31.2401565843974,,false,[],[],enozom.com
